code,category,year_end,net_profit,num_share,price,name,ROI
0021,Technology,31/12/18,24544,737306,1.58,GHL SYSTEMS BERHAD,2.11
1147,Property,31/03/18,-93561,454676,0.285,GLOBAL ORIENTAL BERHAD,-72.2
5220,Industrial Products,30/06/18,-20356,5381737,0.05,GLOBALTEC FORMATION BERHAD,-7.56
7022,Technology,31/12/18,70117,667780,1.75,GLOBETRONICS TECHNOLOGY BERHAD,6.0
5020,Property,30/04/18,30915,791288,0.49,GLOMAC BERHAD,7.97
7382,Plantations,30/06/18,-14953,214524,0.46,GOLDEN LAND BERHAD,-15.15
5649,Industrial Products,31/12/18,513,135135,0.18,GOLDEN PHAROS BERHAD,2.11
7192,Industrial Products,30/06/18,2220,110518,0.205,GOODWAY INTEGRATED INDUSTRIES BERHAD,9.8
2135,Plantations,31/12/18,2287,268993,0.65,GOPENG BERHAD,1.31
7096,Industrial Products,31/03/18,-1172,980490,0.09,GPA HOLDINGS BERHAD,-1.33
5592,Consumer,31/12/18,-5366,197002,0.48,GRAND CENTRAL ENTERPRISES BHD,-5.67
7010,Property,30/06/18,-1789,40000,0.605,GRAND HOOVER BERHAD,-7.39
0056,Technology,31/12/18,5472,474901,0.2,GRAND-FLO BERHAD,5.76
0082,Telco&Media,31/12/18,56408,758817,0.315,GREEN PACKET BERHAD,23.6
0136,Consumer,31/07/18,-395,333740,0.16,GREENYIELD BERHAD,-0.74
9962,Property,31/12/18,5982,375607,0.265,GROMUTUAL BERHAD,6.01
7077,Property,31/03/18,-2426,528039,0.095,GSB GROUP BERHAD,-4.84
5102,Consumer,31/12/18,189254,477862,2.75,GUAN CHONG BERHAD,14.4
3247,Industrial Products,31/12/18,-2681,274362,0.45,GUH HOLDINGS BERHAD,-2.17
7676,Transportation&Logistics,31/12/18,-214,236179,0.29,GUNUNG CAPITAL BERHAD,-0.31
1503,Property,30/06/18,37222,669880,0.88,GUOCOLAND (MALAYSIA) BERHAD,6.31
7668,Consumer,30/04/18,74828,290495,4.96,HAI-O ENTERPRISE BERHAD,5.19
5151,Industrial Products,31/12/18,-11135,105973,0.75,HALEX HOLDINGS BERHAD,-14.01
7253,Energy,31/12/17,-2367,159690,0.23,HANDAL RESOURCES BERHAD,-6.44
3034,Industrial Products,31/12/18,1145608,2489673,9.85,HAP SENG CONSOLIDATED BERHAD,4.67
5138,Plantations,31/12/18,29109,799688,1.64,HAP SENG PLANTATIONS HOLDINGS BERHAD,2.22
2062,Transportation&Logistics,30/06/18,35920,400400,0.71,HARBOUR-LINK GROUP BERHAD,12.64
7501,Plantations,31/12/18,-21172,173219,0.34,HARN LEN CORPORATION BHD,-35.95
5008,Consumer,31/12/18,22470,68476,3.5,HARRISONS HOLDINGS (MALAYSIA) BERHAD,9.38
5168,Health Care,31/03/18,439395,3306247,6.05,HARTALEGA HOLDINGS BERHAD,2.2
